"SSS","Longitude","Latitude"
"AD1_2006__Diekoetter 1 104",8.93872187193,50.7627147675
"AD1_2006__Diekoetter 1 105",8.8607820154,50.7581535409
"AD1_2006__Diekoetter 1 106",8.86786797171,50.758161747
"AD1_2006__Diekoetter 1 107",8.8607952902,50.7536589096
"AD1_2006__Diekoetter 1 108",8.86788056788,50.7536671143
"AD1_2006__Diekoetter 1 109",8.88912585928,50.758183782
"AD1_2006__Diekoetter 1 110",8.89621182742,50.758190266
"AD1_2006__Diekoetter 1 111",8.88913641954,50.7536891459
"AD1_2006__Diekoetter 1 112",8.89622170905,50.7536956288
"AD1_2006__Diekoetter 1 113",8.9174697463,50.7582071348
"AD1_2006__Diekoetter 1 114",8.92455572349,50.7582118968
"AD1_2006__Diekoetter 1 115",8.917477592,50.753712495
"AD1_2006__Diekoetter 1 116",8.92456289056,50.7537172561
"AD1_2006__Diekoetter 1 117",8.94581366535,50.7582235994
"AD1_2006__Diekoetter 1 118",8.95289964882,50.7582266392
"AD1_2006__Diekoetter 1 119",8.94581879649,50.7537289569
"AD1_2006__Diekoetter 1 120",8.95290410132,50.7537319963
"AD1_2006__Diekoetter 1 121",8.93165467771,50.7492269421
"AD1_2006__Diekoetter 1 122",8.93873930128,50.7492308417
"AD1_2006__Diekoetter 1 123",8.93166116283,50.7447322938
"AD1_2006__Diekoetter 1 124",8.9387451081,50.7447361928
"AD1_2006__Marshall 1 1",-2.87786183499,51.0030857049
"AD1_2006__Marshall 1 2",-2.89532542322,51.0218372787
"AD1_2006__Marshall 1 3",-2.90592388072,50.9803902137
"AD1_2006__Marshall 1 4",-3.1776499659,51.1910885178
"AD1_2006__Marshall 1 5",-3.17921263138,51.0840628902
"AD1_2006__Marshall 1 6",-3.20097216404,51.0973300839
"AD1_2006__Marshall 1 7",-2.97816445939,51.2990340634
"AD1_2006__Marshall 1 8",-2.50484652718,51.038565174
"AD1_2006__Marshall 1 9",-2.49629890505,51.0395010284
"AD1_2006__Marshall 1 10",-2.44118076618,51.3922070421
"AD1_2006__Marshall 1 11",-2.4460551982,51.3022709861
"AD1_2006__Marshall 1 12",-2.69956382699,51.0879181638
"AD1_2006__Marshall 1 13",-1.7718125979,51.3154881532
"AD1_2006__Marshall 1 14",-2.02412645345,50.9065684148
"AD1_2006__Marshall 1 15",-1.77382447098,51.489929661
"AD1_2006__Marshall 1 16",-1.60513649295,51.3429197104
"AD1_2006__Marshall 1 17",-1.6168539192,51.3150841006
"AD1_2006__Marshall 1 18",-2.09671953273,50.9353062414
"AD1_2006__Marshall 1 19",-2.09526327915,50.9191212075
"AD1_2006__Marshall 1 20",-1.70536017707,51.8323441552
"AD1_2006__Marshall 1 21",-1.69805023294,51.8404175113
"AD1_2006__Marshall 1 22",-2.86356165861,51.0004945762
"AD1_2006__Marshall 1 23",-2.94918432341,51.0061248642
"AD1_2006__Marshall 1 24",-2.88979245554,50.9562344649
"AD1_2006__Marshall 1 25",-3.13439845816,51.1780274887
"AD1_2006__Marshall 1 26",-3.17454343113,51.068822633
"AD1_2006__Marshall 1 27",-3.19044678313,51.0767549847
"AD1_2006__Marshall 1 28",-2.96974931104,51.3080961213
"AD1_2006__Marshall 1 29",-2.49492059633,51.0440029975
"AD1_2006__Marshall 1 30",-2.48623050444,51.0314503484
"AD1_2006__Marshall 1 31",-2.4626296161,51.381334243
"AD1_2006__Marshall 1 32",-2.41738396071,51.3041751084
"AD1_2006__Marshall 1 33",-2.66362730573,51.0710424961
"AD1_2006__Marshall 1 34",-1.76892491484,51.319079203
"AD1_2006__Marshall 1 35",-2.0170076887,50.8858871698
"AD1_2006__Marshall 1 36",-1.75932702538,51.5078838081
"AD1_2006__Marshall 1 37",-1.60223407848,51.3465065985
"AD1_2006__Marshall 1 38",-1.60397181836,51.3114445607
"AD1_2006__Marshall 1 39",-2.12513792158,50.9190929456
"AD1_2006__Marshall 1 40",-2.126558078,50.918192175
"AD1_2006__Marshall 1 41",-1.81151776735,51.7795150031
"AD1_2006__Marshall 1 42",-1.81151028522,51.7813131997
"AD1_2006__Marshall 2 1",-2.87786183499,51.0030857049
"AD1_2006__Marshall 2 2",-2.89532542322,51.0218372787
"AD1_2006__Marshall 2 3",-2.90592388072,50.9803902137
"AD1_2006__Marshall 2 4",-3.1776499659,51.1910885178
"AD1_2006__Marshall 2 5",-3.17921263138,51.0840628902
"AD1_2006__Marshall 2 6",-3.20097216404,51.0973300839
"AD1_2006__Marshall 2 7",-2.97816445939,51.2990340634
"AD1_2006__Marshall 2 8",-2.50484652718,51.038565174
"AD1_2006__Marshall 2 9",-2.49629890505,51.0395010284
"AD1_2006__Marshall 2 10",-2.44118076618,51.3922070421
"AD1_2006__Marshall 2 11",-2.4460551982,51.3022709861
"AD1_2006__Marshall 2 12",-2.69956382699,51.0879181638
"AD1_2006__Marshall 2 13",-1.7718125979,51.3154881532
"AD1_2006__Marshall 2 14",-2.02412645345,50.9065684148
"AD1_2006__Marshall 2 15",-1.77382447098,51.489929661
"AD1_2006__Marshall 2 16",-1.60513649295,51.3429197104
"AD1_2006__Marshall 2 17",-1.6168539192,51.3150841006
"AD1_2006__Marshall 2 18",-2.09671953273,50.9353062414
"AD1_2006__Marshall 2 19",-2.09526327915,50.9191212075
"AD1_2006__Marshall 2 20",-1.70536017707,51.8323441552
"AD1_2006__Marshall 2 21",-1.69805023294,51.8404175113
"AD1_2006__Marshall 2 22",-2.86356165861,51.0004945762
"AD1_2006__Marshall 2 23",-2.94918432341,51.0061248642
"AD1_2006__Marshall 2 24",-2.88979245554,50.9562344649
"AD1_2006__Marshall 2 25",-3.13439845816,51.1780274887
"AD1_2006__Marshall 2 26",-3.17454343113,51.068822633
"AD1_2006__Marshall 2 27",-3.19044678313,51.0767549847
"AD1_2006__Marshall 2 28",-2.96974931104,51.3080961213
"AD1_2006__Marshall 2 29",-2.49492059633,51.0440029975
"AD1_2006__Marshall 2 30",-2.48623050444,51.0314503484
"AD1_2006__Marshall 2 31",-2.4626296161,51.381334243
"AD1_2006__Marshall 2 32",-2.41738396071,51.3041751084
"AD1_2006__Marshall 2 33",-2.66362730573,51.0710424961
"AD1_2006__Marshall 2 34",-1.76892491484,51.319079203
"AD1_2006__Marshall 2 35",-2.0170076887,50.8858871698
"AD1_2006__Marshall 2 36",-1.75932702538,51.5078838081
"AD1_2006__Marshall 2 37",-1.60223407848,51.3465065985
"AD1_2006__Marshall 2 38",-1.60397181836,51.3114445607
"AD1_2006__Marshall 2 39",-2.12513792158,50.9190929456
"AD1_2006__Marshall 2 40",-2.126558078,50.918192175
"AD1_2006__Marshall 2 41",-1.81151776735,51.7795150031
"AD1_2006__Marshall 2 42",-1.81151028522,51.7813131997
"AD1_2006__McFrederick 1 1",-122.393056,37.715
"AD1_2006__McFrederick 1 2",-122.413889,37.743056
"AD1_2006__McFrederick 1 3",-122.466667,37.717222
"AD1_2006__McFrederick 1 4",-122.441667,37.768333
"AD1_2006__McFrederick 1 5",-122.438333,37.764722
"AD1_2006__McFrederick 1 6",-122.433333,37.745833
"AD1_2006__McFrederick 1 7",-122.459444,37.741944
"AD1_2006__McFrederick 1 8",-122.455278,37.740833
"AD1_2006__McFrederick 1 9",-122.469444,37.749722
"AD1_2006__McFrederick 1 10",-122.467778,37.746667
"AD1_2006__McFrederick 1 11",-122.375556,37.735
"AD1_2006__McFrederick 1 12",-122.419444,37.718056
"AD1_2006__McFrederick 1 13",-122.47,37.786944
"AD1_2006__McFrederick 1 14",-122.455278,37.738611
"AD1_2006__McFrederick 1 15",-122.481667,37.736111
"AD1_2006__McFrederick 1 16",-122.471111,37.754444
"AD1_2006__McFrederick 1 17",-122.433556,37.6917
"AD1_2006__McFrederick 1 18",-122.461981,37.618219
"AD1_2006__McFrederick 1 19",-122.447778,37.759444
"AD1_2006__McFrederick 1 20",-122.4475,37.7525
"AD1_2006__McFrederick 2 1",-122.393056,37.715
"AD1_2006__McFrederick 2 2",-122.413889,37.743056
"AD1_2006__McFrederick 2 3",-122.466667,37.717222
"AD1_2006__McFrederick 2 4",-122.441667,37.768333
"AD1_2006__McFrederick 2 5",-122.438333,37.764722
"AD1_2006__McFrederick 2 6",-122.433333,37.745833
"AD1_2006__McFrederick 2 7",-122.459444,37.741944
"AD1_2006__McFrederick 2 8",-122.455278,37.740833
"AD1_2006__McFrederick 2 9",-122.469444,37.749722
"AD1_2006__McFrederick 2 10",-122.467778,37.746667
"AD1_2006__McFrederick 2 11",-122.375556,37.735
"AD1_2006__McFrederick 2 12",-122.419444,37.718056
"AD1_2006__McFrederick 2 13",-122.47,37.786944
"AD1_2006__McFrederick 2 14",-122.455278,37.738611
"AD1_2006__McFrederick 2 15",-122.481667,37.736111
"AD1_2006__McFrederick 2 16",-122.471111,37.754444
"AD1_2006__McFrederick 2 17",-122.433556,37.6917
"AD1_2006__McFrederick 2 18",-122.461981,37.618219
"AD1_2006__McFrederick 2 19",-122.447778,37.759444
"AD1_2006__McFrederick 2 20",-122.4475,37.7525
"AD1_2007__Hatfield 1 1",-120.22633,39.5605
"AD1_2007__Hatfield 1 2",-120.223,39.56417
"AD1_2007__Hatfield 1 3",-120.21833,39.57967
"AD1_2007__Hatfield 1 4",-120.19667,39.55083
"AD1_2007__Hatfield 1 5",-120.20083,39.54933
"AD1_2007__Hatfield 1 6",-120.195,39.54917
"AD1_2007__Hatfield 1 7",-120.2225,39.526
"AD1_2007__Hatfield 1 8",-120.27333,39.53767
"AD1_2007__Hatfield 1 9",-120.26717,39.53833
"AD1_2007__Hatfield 1 10",-120.27917,39.538
"AD1_2007__Hatfield 1 11",-120.21767,39.533
"AD1_2007__Hatfield 1 12",-120.21417,39.53167
"AD1_2007__Hatfield 1 13",-120.23217,39.493
"AD1_2007__Hatfield 1 14",-120.23517,39.49633
"AD1_2007__Hatfield 1 15",-120.23417,39.50217
"AD1_2007__Hatfield 1 16",-120.30667,39.4885
"AD1_2007__Hatfield 1 17",-120.3085,39.48883
"AD1_2007__Hatfield 1 18",-120.30967,39.48883
"AD1_2007__Hatfield 1 19",-120.2905,39.47883
"AD1_2007__Hatfield 1 20",-120.29167,39.47833
"AD1_2007__Hatfield 1 21",-120.29267,39.4785
"AD1_2007__Hatfield 1 22",-120.1925,39.46417
"AD1_2007__Hatfield 1 23",-120.19433,39.4625
"AD1_2007__Hatfield 1 24",-120.191,39.4635
"AD1_2007__Hatfield 1 25",-120.27383,39.46417
"AD1_2007__Hatfield 1 26",-120.27267,39.46267
"AD1_2007__Hatfield 1 27",-120.27333,39.46083
"AD1_2007__Hatfield 1 28",-120.34267,39.46
"AD1_2007__Hatfield 1 29",-120.34333,39.45933
"AD1_2007__Hatfield 1 30",-120.34267,39.45917
"AD1_2007__Hatfield 1 31",-120.34583,39.45417
"AD1_2007__Hatfield 1 32",-120.34583,39.45333
"AD1_2007__Hatfield 1 33",-120.34517,39.45267
"AD1_2007__Hatfield 1 34",-120.25883,39.4325
"AD1_2007__Hatfield 1 35",-120.26383,39.433
"AD1_2007__Hatfield 1 36",-120.26017,39.4335
"AD1_2007__Hatfield 1 37",-120.188,39.40467
"AD1_2007__Hatfield 1 38",-120.18217,39.41217
"AD1_2007__Hatfield 1 39",-120.16767,39.395
"AD1_2007__Hatfield 1 40",-120.0835,39.41517
"AD1_2007__Hatfield 1 41",-120.083,39.41017
"AD1_2007__Hatfield 1 42",-120.08383,39.413
"AD1_2007__Hatfield 1 43",-120.11133,39.41217
"AD1_2007__Hatfield 1 44",-120.11167,39.41133
"AD1_2007__Hatfield 1 45",-120.111,39.41083
"AD1_2007__Hatfield 1 46",-120.12383,39.40883
"AD1_2007__Hatfield 1 47",-120.13083,39.40467
